# 日文	中文
10連ガチャチケット	10连扭蛋券
君と綴る日記	与你谱写的日记
君の銀の庭	妳的銀色庭園
吟	[https://x.com/g_woyoyo 吟]
吟の筆	吟之笔<!-- Gin no Fude -->
呉キリカ	吴纪里香
呪い	诅咒
呪い無効	诅咒无效
味方を必ずかばう	必定保护同伴
味方一人	同伴1人
呼び水となりて綻び	成为导火索的裂痕
和氣あず未	和气杏未
和泉風花	和泉风花
回復薬セット(中)	回复药套装(中)
回復薬セット(小)	回复药套装(小)
回避無効	回避无效
国宝ハイエンド	国宝High End
坂本真綾	坂本真绫
夏吉ゆうこ	夏吉优子
夏川椎菜、佐倉綾音	夏川椎菜、佐仓绫音
夏目かこ	夏目佳子
夜ノみつき	[http://nanairo-box.blogspot.com/p/blog-page.html 夜之美月]<!--
大橋彩香	大桥彩香
大熊まい	[https://x.com/m_okuma0831 大熊麻衣]
大西亜玖璃	大西亚玖璃
天城サリー	天城莎莉
天杉貴志	[http://www007.upp.so-net.ne.jp/nekonoji/ 天杉贵志]<!-- Tensugi
天野聡美	天野聪美
始まりの焚火入手時	起始的篝火入手时
嫌悪の欠片	嫌恶的碎片
嫌悪の欠片+	嫌恶的碎片+
嫌悪の欠片++	嫌恶的碎片++
子守の取っ手	儿童把手
子守の台座	儿童底座
宇宙一のレシピ	宇宙第一食谱
安済知佳	安济知佳
安齋由香里	安斋由香里
宝崎市立光塚中等教育学校	宝崎市立光-
宝崎市立第一中学校	宝崎市立第一中学校<!--たからざきしりつだいいち-->
宝崎順心学園	宝崎顺心学园 <!--たからざきじゅんしん-->
宮本サトル	[https://x.com/27miyamoto 宫本悟]
宮野アキヒロ	[https://x.com/miyanoakihiro00 宫野AKIHIRO(秋广)]
富士フジノ	[https://x.com/fujino114 富士フジノ]
富田美憂	富田美忧
対魔女ダメージアップ	对魔女伤害上升
小倉唯	小仓唯
小倉唯（アイ：咲々木瞳）	小仓唯（爱：咲咲木瞳）
小坂井祐莉絵	小坂井祐莉绘
小森ニコ	小森ニコ<!-- 小森尼可 -->
小清水亜美	小清水亚美
小澤亜李	小泽亚李
屋上のバルーン	屋顶的气球
屋上の鍵	屋顶钥匙
山村洋貴	山村洋贵
山茶花の跡	山茶花之跡
岡咲美保	冈咲美保
岸田隆宏	岸田隆宏<!-- Kishida Takahiro-->
峯田茉優	峰田茉优
巴マミ	巴麻美
市ノ瀬加那	市之濑加那
常盤ななか	常盘七夏
平松正樹/天杉貴志	[https://x.com/hiramac10 平松正树]/[http://www007.upp.so-net.ne.
幸村恵理	幸村惠理
幻惑無効	幻惑无效
弘司 ＝ [https://www.pixiv.net/member.php?id	254579 弘司]
弱点属性で攻撃されたときMPUP	被弱点属性攻击时MPUP
御園かりん	御园花凛
徳井青空	德井青空
必ずかばう	必定保护
必ずやけど	必定烧伤
必ずやけど無効	必定烧伤无效
必ずカウンター	必定反击
必ずカウンター無効	必定反击无效
必ずクリティカル	必定暴击
必ずスキル不可	必定技能封印
必ずスキル不可・マギア不可	必定技能封印、Magia封印
必ずスキル不可無効	必定技能封印无效
必ずスタン	必定眩晕
必ずスタン無効	必定眩晕无效
必ずダメージカット無視	必定无视伤害削减
必ずマギア不可	必定Magia封印
必ずマギア不可無効	必定Magia封印无效
必ず呪い	必定诅咒
必ず呪い無効	必定诅咒无效
必ず回避	必定回避
必ず回避無効	必定回避无效
必ず幻惑	必定幻惑
必ず幻惑無効	必定幻惑无效
必ず強化カウンター	必定强化反击
必ず強化呪い	必定强化诅咒
必ず強化毒	必定强化毒
必ず拘束	必定拘束
必ず拘束無効	必定拘束无效
必ず挑発	必定挑衅
必ず挑発無視	必定无视挑衅
必ず暗闇	必定黑暗
必ず暗闇無効	必定黑暗无效
必ず毒	必定毒
必ず毒・やけど・霧・暗闇・呪い・幻惑・虚弱	必定毒·烧伤·雾·黑暗·诅咒·幻惑·虚弱
必ず毒無効	必定毒无效
必ず虚弱	必定虚弱
必ず追撃	必定追击
必ず防御無視	必定无视防御
必ず霧	必定雾
必ず霧無効	必定雾无效
必ず魅了	必定魅惑
必ず魅了・呪い・暗闇	必定魅惑、诅咒、黑暗
必ず魅了無効	必定魅惑无效
志伸あきら	志伸晶
怪獣のツノ	怪兽的角
恍惚の欠片	恍惚的碎片
恍惚の欠片+	恍惚的碎片+
恍惚の欠片++	恍惚的碎片++
恐怖の欠片	恐怖的碎片
恐怖の欠片+	恐怖的碎片+
恐怖の欠片++	恐怖的碎片++
悠木碧、麻倉もも	悠木碧、麻仓桃
悪魔	恶魔
悲嘆の欠片	悲叹的碎片
悲嘆の欠片+	悲叹的碎片+
悲嘆の欠片++	悲叹的碎片++
感情の欠片セット(嫌悪)	感情的碎片套装(嫌恶)
感情の欠片セット(恍惚)	感情的碎片套装(恍惚)
感情の欠片セット(恐怖)	感情的碎片套装(恐怖)
感情の欠片セット(悲嘆)	感情的碎片套装(悲叹)
感情の欠片セット(敬愛)	感情的碎片套装(敬爱)
感情の欠片セット(期待)	感情的碎片套装(期待)
感情の欠片セット(激怒)	感情的碎片套装(激怒)
感情の欠片セット(驚嘆)	感情的碎片套装(惊叹)
慈愛の欠片	慈爱的碎片
戦闘不能時に	战斗不能时获得
戸松ゆきな	户松雪菜
戸流ケイ	[https://ameblo.jp/toru-zone/ 戸流ケイ（Toru Kei）]<!-- 户流启 -->
拘束無効	拘束无效
拡張ユニット	扩展单元
指出毬亜	指出-
挑発	挑衅
挑発無視	无视挑衅
