ja_tsv	zhCN_tsv	confidence	state	charaNo	messageId	message_scope	cn_keys	contains_at_marker	requires_runtime_capture
あっ、美味しそうな果物！食べちゃえー	啊，看上去很好吃的水果！让我来吃掉它吧—	key_aligned	new	1109	8	character_profile_or_lobby	vo_char_1109_00_08_hca	False	True
あっちで飛び込みできるって！	听说那边可以玩跳水！	key_aligned	new	2600	8	character_profile_or_lobby	vo_char_2600_00_08_hca	False	True
あっは！そんなのどうでもいいでしょ？	啊哈！那种事随它去好了。	key_aligned	new	3018	8	character_profile_or_lobby	vo_char_3018_00_08_hca	False	True
あっ！このテープカッター可愛い！	啊！这个胶带切割器好可爱！	key_aligned	new	1030	9	character_profile_or_lobby	vo_char_1030_00_09_hca	False	True
あなたが、私の妹でございますか…？	你，可是我的妹妹……？	key_aligned	new	1018	6	character_profile_or_lobby	vo_char_1018_00_06_hca	False	True
あなたが、私を呼んだの？	是你在叫我吗？	key_aligned	new	2001	10	character_profile_or_lobby	vo_char_2001_00_10_hca	False	True
あなたと…一緒にいてもいいですか？	我可以……和你一起吗？	key_aligned	new	3016	11	character_profile_or_lobby	vo_char_3016_00_11_hca	False	True
あなたには関係ない	和你无关。	key_aligned	new	2002	6	character_profile_or_lobby	vo_char_2002_00_06_hca	False	True
あなたの夢を叶えるまで…@私は死なないから…	在你的梦想实现之前……我是不会死的……	key_aligned	new	3053	45	battle_result	vo_char_3053_00_45_hca	True	True
あなたの運勢…「大凶」ねっ	你的运势……是「大凶」啊。	key_aligned	new	1117	45	battle_result	vo_char_1117_00_45_hca	False	False
あなたはどんな夢を叶えるつもり？	你想实现什么梦想？	key_aligned	new	2005	10	character_profile_or_lobby	vo_char_2005_00_10_hca	False	True
あなたを大切に思う人のことも考えて!?	你也要考虑一下珍视你的人啊！	key_aligned	new	2002	10	character_profile_or_lobby	vo_char_2002_00_10_hca	False	True
あの…２部の主人公も私ですよね？	那个……第二部的主角也是我吧？	key_aligned	new	1201	12	character_profile_or_lobby	vo_char_1201_00_12_hca	False	True
あの人が…巴マミなのですね…	那个人……就是巴麻美了吧……	key_aligned	new	2007	10	character_profile_or_lobby	vo_char_2007_00_10_hca	False	True
あの子、私とまるで瓜二つでございます！	那个女孩，跟我宛如一个模子里刻出来的！	key_aligned	new	1018	11	character_profile_or_lobby	vo_char_1018_00_11_hca	False	True
あの方が告げた刻限ですわ！	已经到了那个人说的时刻了！	key_aligned	new	4024	8	character_profile_or_lobby	vo_char_4024_00_08_hca	False	True
あま～いお汁粉が待ってるよ…！	甜甜的~年糕小豆汤在等着我呢……！	key_aligned	new	2100	43	battle_result	vo_char_2100_00_43_hca	False	False
あら…同じ条件で私に勝てる？	哼……同样的状况下你能赢过我吗？	key_aligned	new	2005	12	character_profile_or_lobby	vo_char_2005_00_12_hca	False	True
あら、わたしでもやれるものねぇ♪	哎呀，我也能做到了呢～	key_aligned	new	1017	43	battle_result	vo_char_1017_00_43_hca	False	False
あらかた片付いたかしら	大致收拾掉了吧	key_aligned	new	4026	46	battle_result	vo_char_4026_00_46_hca	False	False
ありがとう、ツバメさんっ！	谢谢你，燕子！	key_aligned	new	1015	45	battle_result	vo_char_1015_00_45_hca	False	False
ありがとうみんな、とっても助かるわ	谢谢大家，帮了很多忙。	key_aligned	new	1017	46	battle_result	vo_char_1017_00_46_hca	False	False
あれもこれも、なぎさが食べちゃうのです！	这些还有那些，小渚都要吃个干净的说！	key_aligned	new	2007	11	character_profile_or_lobby	vo_char_2007_00_11_hca	False	True
あれ～？口笛吹いたら鳥が集まってきた!?	诶？吹了一声口哨，鸟都围了过来！？	key_aligned	new	3015	10	character_profile_or_lobby	vo_char_3015_00_10_hca	False	True
あー!?環いろは…どうしてここに!?	啊！环彩羽……\n为什么会在这！？	key_aligned	new	1118	6	character_profile_or_lobby	vo_char_1118_00_06_hca	False	True
あーあ…アタシって本っ当タイミング悪い！	哎呀……我真是又赶了个坏时机！	key_aligned	new	1010	12	character_profile_or_lobby	vo_char_1010_00_12_hca	False	True
あーしってば鬼レベ！	我可是恶魔级别的哦！	key_aligned	new	3006	46	battle_result	vo_char_3006_00_46_hca	False	False
あーし的にはイケてると思うけど？	我觉得这很有魅力哦?	key_aligned	new	3006	8	character_profile_or_lobby	vo_char_3006_00_08_hca	False	True
あーだりー！面倒くせーのだいきらいー！	啊——好累啊！这么麻烦的事好讨厌啊！	key_aligned	new	1005	7	character_profile_or_lobby	vo_char_1005_00_07_hca	False	True
あーっ！うさちゃんが！	啊——！是小兔子！	key_aligned	new	4032	7	character_profile_or_lobby	vo_char_4032_00_07_hca	False	True
あ～、おなかへったなぁ～…	啊~，肚子饿了呢……	key_aligned	new	4011	8	character_profile_or_lobby	vo_char_4011_00_08_hca	False	True
あ～、ドキドキしたっ！ふふっ	啊，真刺激！嗯哼。	key_aligned	new	3016	44	battle_result	vo_char_3016_00_44_hca	False	False
い、いかん！ついつい煩悩が…！	い、いかん！ついつい煩悩が…！	key_aligned	new	3058	8	character_profile_or_lobby	vo_char_3058_00_08_hca	False	True
いいものじゃないわよ。魔法少女なんて…	魔法少女才不是什么好差事呢……	key_aligned	new	2005	9	character_profile_or_lobby	vo_char_2005_00_09_hca	False	True
いいレポートが書けそうだ！	看来能写出不错的报告了！	key_aligned	new	3003	45	battle_result	vo_char_3003_00_45_hca	False	False
いい天気だな…絶好の海水浴日和だ	真是好天气啊……\n是海水浴的绝佳日子。	key_aligned	new	2600	6	character_profile_or_lobby	vo_char_2600_00_06_hca	False	True
いえいえ…こんな簡単に終わるはずが…	不对不对……应该不会这么简单就结束……	key_aligned	new	3017	9	character_profile_or_lobby	vo_char_3017_00_09_hca	False	True
いえい！勝ち～！	耶！胜利～！	key_aligned	new	3006	43	battle_result	vo_char_3006_00_43_hca	False	False
いえーい！オレの勝ち～！	耶——！是咱赢了！	key_aligned	new	1005	43	battle_result	vo_char_1005_00_43_hca	False	False
いずれはみんな宇宙の塵や、@かんにんしてや	大家总归会变成宇宙的尘埃，抱歉了	key_aligned	new	1041	46	battle_result	vo_char_1041_00_46_hca	True	True
いっせーのーせ、あっちむいてキュンッ！	让我们一起，朝着那边吧！	key_aligned	new	3053	8	character_profile_or_lobby	vo_char_3053_00_08_hca	False	True
いつか、絶対にあなたを救ってみせる…！	终有一天，我一定会拯救你……！	key_aligned	new	2002	7	character_profile_or_lobby	vo_char_2002_00_07_hca	False	True
いつだって上手く言葉が出てこない	我总是没法好好表达。	key_aligned	new	3025	11	character_profile_or_lobby	vo_char_3025_00_11_hca	False	True
いらっしゃいませ！唐揚げができましたよ！	您来啦！炸鸡已经做好了哦！	key_aligned	new	3035	6	character_profile_or_lobby	vo_char_3035_00_06_hca	False	True
いろいろな釣り餌を用意してみました	我准备了各种鱼饵。	key_aligned	new	2300	10	character_profile_or_lobby	vo_char_2300_00_10_hca	False	True
いろはさん、今なにをしてるんでしょうか…	彩羽，你在做什么呀……	key_aligned	new	1004	12	character_profile_or_lobby	vo_char_1004_00_12_hca	False	True
いーい感じ～♪	感觉不错～♪	key_aligned	new	3006	45	battle_result	vo_char_3006_00_45_hca	False	False
いーーーーやっ	不——行。	key_aligned	new	1007	7	character_profile_or_lobby	vo_char_1007_00_07_hca	False	True
うぅ…ビーチボールを顔で受けてしまって…	呜……沙滩球打到脸了……	key_aligned	new	2300	8	character_profile_or_lobby	vo_char_2300_00_08_hca	False	True
うう…まためちゃくちゃ怒られちゃった…	呜……又被凶了一顿……	key_aligned	new	1003	10	character_profile_or_lobby	vo_char_1003_00_10_hca	False	True
ううぅぅ…お腹が空いて、力が…	呜呜呜…肚子空空的，没有力气了…	key_aligned	new	3024	11	character_profile_or_lobby	vo_char_3024_00_11_hca	False	True
うちの看板犬、豆柴のマメジですわんっ！	这是我家的看板狗，豆柴犬“豆吉”汪！	key_aligned	new	3035	8	character_profile_or_lobby	vo_char_3035_00_08_hca	False	True
うむ、満足だ！	嗯，满足了！	key_aligned	new	3003	43	battle_result	vo_char_3003_00_43_hca	False	False
うむ！大儀であった！なんて冗談です～	嗯！费了好大劲！哎呀开玩笑的说~	key_aligned	new	3033	46	battle_result	vo_char_3033_00_46_hca	False	False
うん…！@そろそろおやつの時間なのです！	嗯！差不多是吃点心的时间了的说！	key_aligned	new	2007	45	battle_result	vo_char_2007_00_45_hca	True	True
うん、なかなか楽しかったよ	嗯，真是愉快呢！	key_aligned	new	4002	45	battle_result	vo_char_4002_00_45_hca	False	False
うん、逃げ切りましたね！	唔，跑掉了呢！	key_aligned	new	3017	46	battle_result	vo_char_3017_00_46_hca	False	False
うんうん、@いっぱいアドレナリンが出てるねー！	嗯嗯，分泌了不少肾上腺素！	key_aligned	new	1007	44	battle_result	vo_char_1007_00_44_hca	True	True
うんうん！いい感じだね！	嗯嗯！感觉不错呢！	key_aligned	new	2001	45	battle_result	vo_char_2001_00_45_hca	False	False
うんっ、スカッとしたね！	嗯，心情舒爽了！	key_aligned	new	1026	43	battle_result	vo_char_1026_00_43_hca	False	False
うんっ、能力も安定してる！	嗯，能力状态稳定！	key_aligned	new	1015	44	battle_result	vo_char_1015_00_44_hca	False	False
うー、わたしも魚釣るの上手くなりたいっ	唔——，我也想变得擅长钓鱼。	key_aligned	new	1026	7	character_profile_or_lobby	vo_char_1026_00_07_hca	False	True
うーん、何がいけなかったのかなぁ	嗯——有什么不行的吗？	key_aligned	new	3032	10	character_profile_or_lobby	vo_char_3032_00_10_hca	False	True
うーん、何とか発掘できないかな…	嗯——，有没有办法进行挖掘呢…	key_aligned	new	3038	9	character_profile_or_lobby	vo_char_3038_00_09_hca	False	True
うーん、書き初めは、何を書こうかな…？	嗯，新春开笔，该写些什么呢……？	key_aligned	new	2100	9	character_profile_or_lobby	vo_char_2100_00_09_hca	False	True
う～ん…リボン、どっちかなぁ～？	嗯~……缎带，戴哪个好呢~？	key_aligned	new	2001	6	character_profile_or_lobby	vo_char_2001_00_06_hca	False	True
う～ん、満腹…ちょっと休憩なのです…	嗯～吃饱了……\n稍微休息会儿吧……	key_aligned	new	2007	12	character_profile_or_lobby	vo_char_2007_00_12_hca	False	True
う～ん、結構よかったよ～！	嗯～很不错！	key_aligned	new	3018	44	battle_result	vo_char_3018_00_44_hca	False	False
えぇ、大好きだし大嫌いよ、みーんなね	嗯，我对大家是爱恨交织的。	key_aligned	new	1017	11	character_profile_or_lobby	vo_char_1017_00_11_hca	False	True
えへへ、嬉しいなぁ	诶嘿嘿，好开心。	key_aligned	new	3032	46	battle_result	vo_char_3032_00_46_hca	False	False
え～？もう終わりなの～？	诶？已经结束了吗？	key_aligned	new	3018	43	battle_result	vo_char_3018_00_43_hca	False	False
おいおい…このままだとやべぇぞ	おいおい…このままだとやべぇぞ	key_aligned	new	3058	10	character_profile_or_lobby	vo_char_3058_00_10_hca	False	True
おごってはだめよ	不能骄傲哦。	key_aligned	new	4022	45	battle_result	vo_char_4022_00_45_hca	False	False
おす、これでおわり	好，这样就结束了。	key_aligned	new	1029	43	battle_result	vo_char_1029_00_43_hca	False	False
おばあさん…家にいる…？	奶奶……在家里吗？	key_aligned	new	3049	10	character_profile_or_lobby	vo_char_3049_00_10_hca	False	True
おばあちゃんは私が助けるの！	我一定要帮到奶奶！	key_aligned	new	1012	11	character_profile_or_lobby	vo_char_1012_00_11_hca	False	True
お困りなら、この調整屋さんにお任せっ♪	要是有困难，就来找调整专家吧♪	key_aligned	new	1117	9	character_profile_or_lobby	vo_char_1117_00_09_hca	False	True
お姉さん…おねえさぁん…ふぅぅ…	姐姐……姐姐……呜呜呜……	key_aligned	new	3035	12	character_profile_or_lobby	vo_char_3035_00_12_hca	False	True
お姉ちゃん、わたしでも倒せたよ！	姐姐，我也能打败敌人了！	key_aligned	new	1015	43	battle_result	vo_char_1015_00_43_hca	False	False
お姉ちゃん、勝ったよ	姐姐赢了哦！	key_aligned	new	1001	45	battle_result	vo_char_1001_00_45_hca	False	False
お帰りなさい。待ってたよ	欢迎回来。我一直在等着哦！	key_aligned	new	1001	9	character_profile_or_lobby	vo_char_1001_00_09_hca	False	True
お役に立ててなによりっす！	能帮到忙就最好不过了！	key_aligned	new	1022	43	battle_result	vo_char_1022_00_43_hca	False	False
お汁粉に、バターとチョコは欠かせないわ♪	年糕小豆汤里，少不了黄油和巧克力哦♪	key_aligned	new	1117	10	character_profile_or_lobby	vo_char_1117_00_10_hca	False	True
お節介って言われようが放っとけないって！	就算说我多管闲事，我也不能放任不管！	key_aligned	new	1010	8	character_profile_or_lobby	vo_char_1010_00_08_hca	False	True
お経ってのは生きてる人のためにあンだぜ	お経ってのは生きてる人のためにあンだぜ	key_aligned	new	3058	9	character_profile_or_lobby	vo_char_3058_00_09_hca	False	True
お菓子を振る舞う人が増えて大変だわ	来吃点心的人变多了，有些遭不住啊。	key_aligned	new	2500	12	character_profile_or_lobby	vo_char_2500_00_12_hca	False	True
か、勝ちました！@…星６解放分のコメント考えてなかった…	赢、赢了！\n但是还没想好用在6星解锁时的台词……	key_aligned	new	1201	46	battle_result	vo_char_1201_00_46_hca	True	True
かましてやったよ！	打败敌人了！	key_aligned	new	2006	46	battle_result	vo_char_2006_00_46_hca	False	False
きちんとレビュー書くのって難しいな…	要写出好的评论真难啊…	key_aligned	new	3024	9	character_profile_or_lobby	vo_char_3024_00_09_hca	False	True
きっとわたしは後悔する運命にあるの	我的命运就是要如此后悔吧。	key_aligned	new	1017	10	character_profile_or_lobby	vo_char_1017_00_10_hca	False	True
きゃっ！な、波がこっちに…	呀！海、海浪打过来了……	key_aligned	new	2300	6	character_profile_or_lobby	vo_char_2300_00_06_hca	False	True
きょ、強敵でした…！	きょ、強敵でした…！	key_aligned	new	1040	43	battle_result	vo_char_1040_00_43_hca	False	False
きれいさっぱりごちそうさまなのです！	多谢款待的说！	key_aligned	new	2007	46	battle_result	vo_char_2007_00_46_hca	False	False
くふふ…！い～いネタを思いついた！	嘿嘿……！我想到了个不错的梗！	key_aligned	new	3003	6	character_profile_or_lobby	vo_char_3003_00_06_hca	False	True
くふふっ、電波望遠鏡を自由に使えるなんて	嗯哼，竟然能自由地使用射电望远镜。	key_aligned	new	1007	11	character_profile_or_lobby	vo_char_1007_00_11_hca	False	True
くみの温かいラブは、@永久に消せないからね♪	郁美温暖的爱，是永远不会消失的哦♪	key_aligned	new	3053	46	battle_result	vo_char_3053_00_46_hca	True	True
くみの魅力でキュンキュンさせちゃうぞっ！	就让郁美用魅力让大家迷上我吧！	key_aligned	new	3053	7	character_profile_or_lobby	vo_char_3053_00_07_hca	False	True
くんくん…この匂いは…チーズなのです！	嗅嗅……这个气味……是奶酪的说！	key_aligned	new	2007	6	character_profile_or_lobby	vo_char_2007_00_06_hca	False	True
けんけんぱ！…からの、逆立ち～！	跳圈圈！然后，倒立！	key_aligned	new	3015	11	character_profile_or_lobby	vo_char_3015_00_11_hca	False	True
こういうときはハイタッチでしょ！	这时候就该来个击掌嘛！	key_aligned	new	1009	46	battle_result	vo_char_1009_00_46_hca	False	False
こうして生きてるだけで、わたしは嬉しいな	能够像这样自由地生活，我就很开心了。	key_aligned	new	1015	9	character_profile_or_lobby	vo_char_1015_00_09_hca	False	True
ここにはね、私が信じる正しさがあるのよ	这里有我相信的正义。	key_aligned	new	2500	8	character_profile_or_lobby	vo_char_2500_00_08_hca	False	True
こっ、このキャラクター、かわいいです！	这、这个角色，好可爱！	key_aligned	new	1027	8	character_profile_or_lobby	vo_char_1027_00_08_hca	False	True
このリボン、特別に結んでもらったんだよ！	这个缎带，是特意为我绑的哦！	key_aligned	new	2100	7	character_profile_or_lobby	vo_char_2100_00_07_hca	False	True
この世界は…暗闇なんかじゃない…	这个世界……并没有那么黑暗……	key_aligned	new	3501	9	character_profile_or_lobby	vo_char_3501_00_09_hca	False	True
この力はキミのために使わせてもらうよ	这份力量就为你所用。	key_aligned	new	4002	8	character_profile_or_lobby	vo_char_4002_00_08_hca	False	True
この力を使うことになるとはな…	この力を使うことになるとはな…	key_aligned	new	3056	45	battle_result	vo_char_3056_00_45_hca	False	False
この勝利が@自分の幻覚でないことを祈ります	但愿这胜利并不是我的幻觉。	key_aligned	new	1006	45	battle_result	vo_char_1006_00_45_hca	True	True
この勝利が、@しきたりを変える第一歩！	这份胜利，就是改变成规的第一步！	key_aligned	new	1026	45	battle_result	vo_char_1026_00_45_hca	True	True
この大鎌に狩れぬものはない	没有这把镰刀无法猎取之物。	key_aligned	new	1012	44	battle_result	vo_char_1012_00_44_hca	False	False
この子…まるで死ぬことを恐れてない…！	她……真的不畏惧死亡吗……！	key_aligned	new	3016	7	character_profile_or_lobby	vo_char_3016_00_07_hca	False	True
この子で、間違いないのね？	她，是不会有错的吧？	key_aligned	new	4022	12	character_profile_or_lobby	vo_char_4022_00_12_hca	False	True
この怒りは、正義か…欲望か…！	この怒りは、正義か…欲望か…！	key_aligned	new	3058	11	character_profile_or_lobby	vo_char_3058_00_11_hca	False	True
この戦い、星５つです！	这场战斗，五星好评！	key_aligned	new	3024	46	battle_result	vo_char_3024_00_46_hca	False	False
この手応え…あっは！	这个感觉……啊哈！	key_aligned	new	3018	46	battle_result	vo_char_3018_00_46_hca	False	False
この手応え…今なら泳げるかも!?	这感觉……说不定现在就能游起来了！？	key_aligned	new	1101	46	battle_result	vo_char_1101_00_46_hca	False	False
この目つきで…どれだけ勘違いされたか…	我的眼神……究竟是被误解到什么程度了……	key_aligned	new	3049	11	character_profile_or_lobby	vo_char_3049_00_11_hca	False	True
この相手には、なんの武器が…？	这个对手要用什么武器来对付……？	key_aligned	new	2003	10	character_profile_or_lobby	vo_char_2003_00_10_hca	False	True
この血は、わたしの体にも流れてるの…？	这份血脉，也在我的身体里流淌着？	key_aligned	new	1026	12	character_profile_or_lobby	vo_char_1026_00_12_hca	False	True
この軍勢の勢いは、@誰にも止められないっす！	这支军队的威势，谁也无法阻挡！	key_aligned	new	1022	44	battle_result	vo_char_1022_00_44_hca	True	True
この闇塁こそが…本当の僕なんだ…！	この闇塁こそが…本当の僕なんだ…！	key_aligned	new	3056	6	character_profile_or_lobby	vo_char_3056_00_06_hca	False	True
この集落の方が本当になにもないよ	这个村落里真的什么都没有。	key_aligned	new	1026	6	character_profile_or_lobby	vo_char_1026_00_06_hca	False	True
こら！やめろ！見下ろすな！	喂！给我停下！不许往下看！	key_aligned	new	3003	7	character_profile_or_lobby	vo_char_3003_00_07_hca	False	True
これ、とーぜんの結果でしょ！	这个结果是当然啦！	key_aligned	new	1005	45	battle_result	vo_char_1005_00_45_hca	False	False
これからもフォローよろしくな！	今后也要拜托你帮忙啦！	key_aligned	new	1010	45	battle_result	vo_char_1010_00_45_hca	False	False
これからも見守っていてください、ですっ！	今后也请见证我的成长，的说！	key_aligned	new	3033	11	character_profile_or_lobby	vo_char_3033_00_11_hca	False	True
これから一緒に頑張ろうね！	之后要一起努力呢！	key_aligned	new	2003	11	character_profile_or_lobby	vo_char_2003_00_11_hca	False	True
これが@クリスマスに奇跡を起こす魔法っ！	这就是带来圣诞奇迹的魔法！	key_aligned	new	3501	43	battle_result	vo_char_3501_00_43_hca	True	True
これが@星４として実装された私の力です！	这就是作为4星登场的我的力量！	key_aligned	new	1201	44	battle_result	vo_char_1201_00_44_hca	True	True
これが強さの証明！	这就是强大的证明！	key_aligned	new	1003	45	battle_result	vo_char_1003_00_45_hca	False	False
これが本当のレナ…えっ、これが？マジ…？	这是真的玲奈…咦，这就是？认真的…？	key_aligned	new	1109	10	character_profile_or_lobby	vo_char_1109_00_10_hca	False	True
これが私が示す道よ	这就是我展示的道路。	key_aligned	new	2500	44	battle_result	vo_char_2500_00_44_hca	False	False
これが過去を払拭する@一歩になれば嬉しい	希望这能成为抹除过去的一小步	key_aligned	new	1027	44	battle_result	vo_char_1027_00_44_hca	True	True
これが魔法のショコラティエの実力@なのです	这就是魔法巧克力甜点师的实力的说。	key_aligned	new	2700	46	battle_result	vo_char_2700_00_46_hca	True	True
これこれ！これぞまさに修行！	就是这个！这也是修行！	key_aligned	new	1003	12	character_profile_or_lobby	vo_char_1003_00_12_hca	False	True
これぞ、あの世から来た魔物の力なのだ	此乃由另一个世界而来的魔物之力。	key_aligned	new	1012	46	battle_result	vo_char_1012_00_46_hca	False	False
これぞハッピーハロウィーン	这就是欢乐万圣节。	key_aligned	new	1012	43	battle_result	vo_char_1012_00_43_hca	False	False
これってホントに、現実なの…？	这真的是现实吗……?	key_aligned	new	2001	9	character_profile_or_lobby	vo_char_2001_00_09_hca	False	True
これで@ゆっくりチーズが食べられるのです！	这样子就能悠闲地吃奶酪了的说！	key_aligned	new	2007	44	battle_result	vo_char_2007_00_44_hca	True	True
これでも、貧乏性なんやで？	这也是，天生穷命之类的？	key_aligned	new	1041	6	character_profile_or_lobby	vo_char_1041_00_06_hca	False	True
これで完結	这样就完结了。	key_aligned	new	1014	43	battle_result	vo_char_1014_00_43_hca	False	False
これで少しだけ、理想に近付けた？	这样，我是不是就稍微接近了一点理想？	key_aligned	new	1029	45	battle_result	vo_char_1029_00_45_hca	False	False
これにて一件落着！です！	这样就结束了！的说！	key_aligned	new	3033	45	battle_result	vo_char_3033_00_45_hca	False	False
これにて終演にございます	演出到此结束。	key_aligned	new	1018	46	battle_result	vo_char_1018_00_46_hca	False	False
これに懲りたら、もうバカな真似はやめな	吃了这样的苦头，就不要再做傻事了。	key_aligned	new	2006	11	character_profile_or_lobby	vo_char_2006_00_11_hca	False	True
これは、夢なんかじゃないわ	这不是做梦吧。	key_aligned	new	4022	6	character_profile_or_lobby	vo_char_4022_00_06_hca	False	True
これも…“奴ら”の計画…!?	これも…“奴ら”の計画…!?	key_aligned	new	3056	7	character_profile_or_lobby	vo_char_3056_00_07_hca	False	True
これも我慢の賜物でございます	这也是忍耐的恩赐吧。	key_aligned	new	1018	44	battle_result	vo_char_1018_00_44_hca	False	False
こんなところで、私は負けない…！	我不会在这个地方失败……！	key_aligned	new	2002	43	battle_result	vo_char_2002_00_43_hca	False	False
こんなに夏を楽しめたのは、初めてだよっ！	像这样享受夏天，还是第一次啊！	key_aligned	new	1118	12	character_profile_or_lobby	vo_char_1118_00_12_hca	False	True
こんなの小学生でも勝てるよ～	这种游戏小学生也能赢哦~	key_aligned	new	1023	43	battle_result	vo_char_1023_00_43_hca	False	False
こんなものかしら	就这样吧。	key_aligned	new	4022	44	battle_result	vo_char_4022_00_44_hca	False	False
